user_loc,fr_loc,scaled_sci
USA01029,MEX12,25
USA01029,MEX13,345
USA01029,MEX14,39
USA01029,MEX15,34
USA01029,MEX16,209
USA01029,MEX17,24
USA01029,MEX18,27
USA01029,MEX19,91
USA01029,MEX2,43
USA01029,MEX20,33
USA01029,MEX21,17
USA01029,MEX22,133
USA01029,MEX23,52
USA01029,MEX24,353
USA01029,MEX25,27
USA01029,MEX26,27
USA01029,MEX27,18
USA01029,MEX28,58
USA01029,MEX29,16
USA01029,MEX3,185
USA01029,MEX30,55
USA01029,MEX31,23
USA01029,MEX32,97
USA01029,MEX4,29
USA01029,MEX5,41
USA01029,MEX6,30
USA01029,MEX7,27
USA01029,MEX8,41
USA01029,MEX9,29
USA01031,ARG1,18
USA01031,ARG10,17
USA01031,ARG11,15
USA01031,ARG12,47
USA01031,ARG13,14
USA01031,ARG14,30
USA01031,ARG15,17
USA01031,ARG16,14
USA01031,ARG17,24
USA01031,ARG18,107
USA01031,ARG19,15
USA01031,ARG2,21
USA01031,ARG20,15
USA01031,ARG21,16
USA01031,ARG22,18
USA01031,ARG23,21
USA01031,ARG24,19
USA01031,ARG3,14
USA01031,ARG4,22
USA01031,ARG5,15
USA01031,ARG6,29
USA01031,ARG7,18
USA01031,ARG8,15
USA01031,ARG9,25
USA01031,MEX1,87
USA01031,MEX10,67
USA01031,MEX11,135
USA01031,MEX12,540
USA01031,MEX13,198
USA01031,MEX14,75
USA01031,MEX15,70
USA01031,MEX16,435
USA01031,MEX17,98
USA01031,MEX18,169
USA01031,MEX19,130
USA01031,MEX2,86
USA01031,MEX20,138
USA01031,MEX21,68
USA01031,MEX22,117
USA01031,MEX23,229
USA01031,MEX24,325
USA01031,MEX25,55
USA01031,MEX26,59
USA01031,MEX27,92
USA01031,MEX28,164
USA01031,MEX29,45
USA01031,MEX3,122
USA01031,MEX30,237
USA01031,MEX31,77
USA01031,MEX32,77
USA01031,MEX4,227
USA01031,MEX5,694
USA01031,MEX6,109
USA01031,MEX7,202
USA01031,MEX8,71
USA01031,MEX9,57
USA01033,ARG1,10
USA01033,ARG10,5
USA01033,ARG11,9
USA01033,ARG12,4
USA01033,ARG13,10
USA01033,ARG14,9
USA01033,ARG15,9
USA01033,ARG16,8
USA01033,ARG17,10
USA01033,ARG18,15
USA01033,ARG19,8
USA01033,ARG2,10
USA01033,ARG20,10
USA01033,ARG21,9
USA01033,ARG22,5
USA01033,ARG23,5
USA01033,ARG24,7
USA01033,ARG3,5
USA01033,ARG4,8
USA01033,ARG5,10
USA01033,ARG6,21
USA01033,ARG7,7
USA01033,ARG8,42
USA01033,ARG9,7
USA01033,MEX1,32
USA01033,MEX10,64
USA01033,MEX11,227
USA01033,MEX12,261
USA01033,MEX13,65
USA01033,MEX14,64
USA01033,MEX15,31
USA01033,MEX16,62
USA01033,MEX17,47
USA01033,MEX18,39
USA01033,MEX19,40
USA01033,MEX2,70
USA01033,MEX20,39
USA01033,MEX21,18
USA01033,MEX22,37
USA01033,MEX23,54
USA01033,MEX24,116
USA01033,MEX25,22
USA01033,MEX26,35
USA01033,MEX27,23
USA01033,MEX28,178
USA01033,MEX29,20
USA01033,MEX3,39
USA01033,MEX30,33
USA01033,MEX31,21
USA01033,MEX32,64
USA01033,MEX4,28
USA01033,MEX5,58
USA01033,MEX6,33
USA01033,MEX7,33
USA01033,MEX8,23
USA01033,MEX9,26
USA01035,ARG1,11
USA01035,ARG10,7
USA01035,ARG11,9
USA01035,ARG12,5
USA01035,ARG13,10
USA01035,ARG14,10
USA01035,ARG15,10
USA01035,ARG16,9
USA01035,ARG17,11
USA01035,ARG18,6
USA01035,ARG19,9
USA01035,ARG2,10
USA01035,ARG20,11
USA01035,ARG21,10
USA01035,ARG22,5
USA01035,ARG23,17
USA01035,ARG24,8
USA01035,ARG3,9
USA01035,ARG4,14
USA01035,ARG5,19
USA01035,ARG6,15
USA01035,ARG7,8
USA01035,ARG8,7
USA01035,ARG9,11
USA01035,MEX1,39
USA01035,MEX10,26
USA01035,MEX11,809
USA01035,MEX12,140
USA01035,MEX13,166
USA01035,MEX14,33
USA01035,MEX15,38
USA01035,MEX16,78
USA01035,MEX17,35
USA01035,MEX18,31
USA01035,MEX19,44
USA01035,MEX2,47
USA01035,MEX20,81
USA01035,MEX21,298
USA01035,MEX22,137
USA01035,MEX23,102
USA01035,MEX24,181
USA01035,MEX25,19
USA01035,MEX26,65
USA01035,MEX27,146
USA01035,MEX28,55
USA01035,MEX29,51
USA01035,MEX3,89
USA01035,MEX30,143
USA01035,MEX31,27
USA01035,MEX32,42
USA01035,MEX4,34
USA01035,MEX5,325
USA01035,MEX6,44
USA01035,MEX7,35
USA01035,MEX8,28
USA01035,MEX9,33
USA01037,ARG1,10
USA01037,ARG10,10
USA01037,ARG11,9
USA01037,ARG12,6
USA01037,ARG13,5
USA01037,ARG14,12
USA01037,ARG15,10
USA01037,ARG16,7
USA01037,ARG17,9
USA01037,ARG18,10
USA01037,ARG19,3
USA01037,ARG2,7
USA01037,ARG20,11
USA01037,ARG21,7
USA01037,ARG22,9
USA01037,ARG23,19
USA01037,ARG24,8
USA01037,ARG3,8
USA01037,ARG4,4
USA01037,ARG5,75
USA01037,ARG6,11
USA01037,ARG7,3
USA01037,ARG8,13
USA01037,ARG9,7
USA01037,MEX1,19
USA01037,MEX10,15
USA01037,MEX11,28
USA01037,MEX12,22
USA01037,MEX13,227
USA01037,MEX14,24
USA01037,MEX15,39
USA01037,MEX16,31
USA01037,MEX17,16
USA01037,MEX18,22
USA01037,MEX19,32
USA01037,MEX2,18
USA01037,MEX20,74
USA01037,MEX21,23
USA01037,MEX22,586
USA01037,MEX23,72
USA01037,MEX24,183
USA01037,MEX25,11
USA01037,MEX26,19
USA01037,MEX27,13
USA01037,MEX28,32
USA01037,MEX29,18
USA01037,MEX3,29
USA01037,MEX30,223
USA01037,MEX31,13
USA01037,MEX32,104
USA01037,MEX4,22
USA01037,MEX5,34
USA01037,MEX6,30
USA01037,MEX7,32
USA01037,MEX8,25
USA01037,MEX9,25
USA01039,ARG1,10
USA01039,ARG10,6
USA01039,ARG11,6
USA01039,ARG12,4
USA01039,ARG13,11
USA01039,ARG14,6
USA01039,ARG15,7
USA01039,ARG16,8
USA01039,ARG17,6
USA01039,ARG18,5
USA01039,ARG19,7
USA01039,ARG2,8
USA01039,ARG20,12
USA01039,ARG21,9
USA01039,ARG22,6
USA01039,ARG23,7
USA01039,ARG24,6
USA01039,ARG3,6
USA01039,ARG4,8
USA01039,ARG5,9
USA01039,ARG6,16
USA01039,ARG7,9
USA01039,ARG8,5
USA01039,ARG9,6
USA01039,MEX1,34
USA01039,MEX10,21
USA01039,MEX11,23
USA01039,MEX12,169
USA01039,MEX13,39
USA01039,MEX14,32
USA01039,MEX15,20
USA01039,MEX16,98
USA01039,MEX17,26
USA01039,MEX18,24
USA01039,MEX19,26
USA01039,MEX2,33
USA01039,MEX20,33
USA01039,MEX21,20
USA01039,MEX22,136
USA01039,MEX23,43
USA01039,MEX24,136
USA01039,MEX25,19
USA01039,MEX26,22
USA01039,MEX27,61
USA01039,MEX28,66
USA01039,MEX29,43
USA01039,MEX3,34
USA01039,MEX30,44
USA01039,MEX31,17
USA01039,MEX32,38
USA01039,MEX4,29
USA01039,MEX5,115
USA01039,MEX6,103
USA01039,MEX7,20
USA01039,MEX8,44
USA01039,MEX9,19
USA01041,ARG1,15
USA01041,ARG10,10
USA01041,ARG11,23
USA01041,ARG12,4
USA01041,ARG13,14
USA01041,ARG14,17
USA01041,ARG15,11
USA01041,ARG16,11
USA01041,ARG17,11
USA01041,ARG18,7
USA01041,ARG19,5
USA01041,ARG2,11
USA01041,ARG20,12
USA01041,ARG21,11
USA01041,ARG22,9
USA01041,ARG23,9
USA01041,ARG24,13
USA01041,ARG3,14
USA01041,ARG4,15
USA01041,ARG5,12
USA01041,ARG6,15
USA01041,ARG7,13
USA01041,ARG8,8
USA01041,ARG9,7
USA01041,MEX1,305
USA01041,MEX10,75
USA01041,MEX11,106
USA01041,MEX12,410
USA01041,MEX13,528
USA01041,MEX14,50
USA01041,MEX15,58
USA01041,MEX16,275
USA01041,MEX17,49
USA01041,MEX18,38
USA01041,MEX19,66
USA01041,MEX2,66
USA01041,MEX20,106
USA01041,MEX21,56
